rank,model,elo,wins,losses,ties,win_rate,correctness,faithfulness,grounding,relevance,completeness,overall,avg_latency_ms,total_tokens
1,openai-gpt-5.1,1907.76,336,44,10,0.8615,5.0,5.0,5.0,5.0,4.73,4.95,29008,193724
2,anthropic-claude-opus-4-6,1834.99,305,58,27,0.7821,4.87,4.87,4.87,4.87,4.87,4.87,16812,178084
3,x-ai-grok-4-fast,1783.44,284,87,19,0.7282,5.0,5.0,5.0,5.0,4.93,4.99,9142,173717
4,google-gemini-3-flash-preview,1738.30,246,130,14,0.6308,5.0,5.0,5.0,5.0,5.0,5.0,9444,196175
5,anthropic-claude-sonnet-4.6,1615.60,206,158,26,0.5282,5.0,5.0,5.0,5.0,5.0,5.0,12740,174650
6,openai-gpt-5.2,1515.42,247,114,29,0.6333,5.0,5.0,5.0,5.0,4.97,4.99,8702,160009
7,google-gemini-3-pro-preview,1512.67,190,177,23,0.4872,4.97,4.97,4.97,5.0,4.8,4.94,25137,207228
8,google-gemini-2.5-pro,1431.86,151,217,22,0.3872,5.0,5.0,5.0,5.0,5.0,5.0,17834,192924
9,anthropic-claude-opus-4.5,1404.78,106,259,25,0.2718,4.93,4.93,4.93,4.93,4.8,4.91,11489,171313
10,z-ai-glm-4.6,1337.30,178,191,21,0.4564,4.87,4.87,4.83,4.9,4.57,4.81,36774,200975
11,anthropic-claude-sonnet-4.5,1293.62,86,285,19,0.2205,5.0,5.0,5.0,5.0,5.0,5.0,12322,169230
12,deepseek-deepseek-r1,1292.57,75,302,13,0.1923,4.93,4.93,4.9,4.97,4.6,4.87,23334,169408
13,openai-gpt-oss-120b,1246.21,115,264,11,0.2949,4.8,4.8,4.8,4.83,4.73,4.79,19128,162839
14,qwen-qwen3-30b-a3b-thinking-2507,1085.49,72,311,7,0.1846,4.9,4.87,4.87,4.93,4.77,4.87,16030,186829
